"role","name","email","password","category","zone","notes"
"owner","Demo Owner","demo.owner@fixflow.lk","","","","User row via seed:ensureDemoOwner — password not auto-set; use Sign up for owners"
"owner","Any homeowner (sign up)","(email you choose)","(password you choose)","","","Public signup is owner-only"
"supplier","Nimal Perera","nimal.perera.1@fixflow.lk","FixFlowDemo1","Plumbing","kadana","After npx convex run demoAuth:setupDemoSupplierPasswords"
"supplier","Ranjith Fernando","ranjith.fernando.2@fixflow.lk","FixFlowDemo1","Plumbing","kadana","After npx convex run demoAuth:setupDemoSupplierPasswords"
"supplier","Priya Subramaniam","priya.subramaniam.3@fixflow.lk","FixFlowDemo1","Plumbing","rajagiriya","After npx convex run demoAuth:setupDemoSupplierPasswords"
"supplier","Farook Ismail","farook.ismail.4@fixflow.lk","FixFlowDemo1","Plumbing","rajagiriya","After npx convex run demoAuth:setupDemoSupplierPasswords"
"supplier","Janaka Perera","janaka.perera.5@fixflow.lk","FixFlowDemo1","Plumbing","nawala","After npx convex run demoAuth:setupDemoSupplierPasswords"
"supplier","Kamal Silva","kamal.silva.6@fixflow.lk","FixFlowDemo1","Electrical","kadana","After npx convex run demoAuth:setupDemoSupplierPasswords"
"supplier","Dinesh Wickrama","dinesh.wickrama.7@fixflow.lk","FixFlowDemo1","Electrical","kadana","After npx convex run demoAuth:setupDemoSupplierPasswords"
"supplier","Arjun Selvam","arjun.selvam.8@fixflow.lk","FixFlowDemo1","Electrical","rajagiriya","After npx convex run demoAuth:setupDemoSupplierPasswords"
"supplier","Sandun Fernando","sandun.fernando.9@fixflow.lk","FixFlowDemo1","Electrical","rajagiriya","After npx convex run demoAuth:setupDemoSupplierPasswords"
"supplier","Nadeesha Wijesinghe","nadeesha.wijesinghe.10@fixflow.lk","FixFlowDemo1","Electrical","nawala","After npx convex run demoAuth:setupDemoSupplierPasswords"
"supplier","Susantha Bandara","susantha.bandara.11@fixflow.lk","FixFlowDemo1","Roofing","kadana","After npx convex run demoAuth:setupDemoSupplierPasswords"
